,Usuario,rating,id_food,nutriscore_grade
0,1,2,27989,c
1,1,3,51362,b
2,1,4,51485,a
3,1,2,47224,d
4,1,2,21070,d
5,1,2,43259,c
6,1,2,32563,c
7,1,2,14558,e
8,1,2,27938,c
9,1,2,5724,c
10,1,2,15203,d
11,1,2,3914,d
12,1,2,39278,e
13,1,2,2837,c
14,1,2,49022,e
15,1,2,14400,d
16,1,2,44031,e
17,1,4,18039,a
18,1,2,46070,c
19,1,2,41415,d
20,1,2,34861,c
21,1,2,20825,d
22,1,2,46300,c
23,1,3,41683,b
24,1,2,16121,d
25,1,3,46035,b
26,1,2,3966,c
27,1,2,20582,e
28,1,3,47357,b
29,1,2,21586,c
30,1,2,52234,c
31,1,2,15675,e
32,1,4,28968,a
33,1,2,30551,c
34,1,2,36821,d
35,1,2,27432,e
36,1,3,33798,b
37,1,4,51135,a
38,1,2,1770,c
39,1,2,47832,c
40,1,2,41276,c
41,1,2,18210,d
42,1,4,4598,a
43,1,2,24014,c
44,1,2,34719,d
45,1,2,45969,e
46,1,3,49143,b
47,1,4,15178,a
48,1,2,37208,d
49,1,2,30552,c
50,1,2,21879,d
51,1,3,3510,b
52,1,2,37362,e
53,1,3,20245,b
54,1,4,34098,a
55,1,2,39181,c
56,1,2,26671,d
57,1,2,26695,d
58,1,4,45391,a
59,1,3,47138,b
60,1,3,20467,b
61,1,2,5786,d
62,1,4,24525,a
63,1,2,23100,c
64,1,2,40456,d
65,1,2,46766,c
66,1,2,31421,d
67,1,4,29994,a
68,1,3,23673,b
69,1,2,47628,d
70,1,3,5357,b
71,1,2,50664,c
72,1,2,46216,d
73,1,2,51847,c
74,1,2,37228,d
75,1,2,40341,c
76,1,3,24159,b
77,1,2,21063,c
78,1,4,32330,a
79,1,2,48996,d
80,1,4,26322,a
81,1,2,29980,c
82,1,2,34940,d
83,1,2,34950,d
84,1,2,5425,c
85,1,4,19146,a
86,1,2,46295,c
87,1,3,35351,b
88,1,2,10254,c
89,1,2,29841,c
90,1,4,28140,a
91,1,4,34809,a
92,1,3,6007,b
93,1,3,31834,b
94,1,2,8111,e
95,1,3,41551,b
96,1,2,39432,c
97,1,2,40048,d
98,1,3,37693,b
99,1,2,3161,c
100,1,2,46189,e
101,1,2,13796,d
102,1,4,42053,a
103,1,2,11838,c
104,1,2,17105,d
105,1,2,24814,c
106,1,3,51516,b
107,1,4,30643,a
108,1,2,16982,d
109,1,2,4142,c
110,1,4,40119,a
111,1,2,5796,c
112,1,2,13430,d
113,1,4,26202,a
114,1,2,32164,c
115,1,2,5318,d
116,1,2,22964,d
117,1,2,50445,c
118,1,2,18080,c
119,1,2,34569,d
120,1,2,34196,e
121,1,2,47571,d
122,1,2,15060,d
123,1,4,30698,a
124,1,2,37941,c
125,1,2,25920,d
126,1,4,46680,a
127,1,2,5397,d
128,1,3,48262,b
129,1,2,43149,d
130,1,2,35686,c
131,1,2,46496,c
132,1,2,28103,e
133,1,2,49996,e
134,1,2,22526,c
135,1,4,30856,a
136,1,3,40251,b
137,1,4,35668,a
138,1,3,2537,b
139,1,2,26933,c
140,1,2,43219,c
141,1,3,45892,b
142,1,2,31124,c
143,1,2,23797,d
144,1,2,15766,d
145,1,2,3704,d
146,1,2,22677,d
147,1,2,17905,d
148,1,3,17111,b
149,1,3,17639,b
150,1,4,30700,a
151,1,3,30219,b
152,1,2,3006,c
153,1,2,47572,d
154,1,2,4222,d
155,1,4,3674,a
156,1,4,16037,a
157,1,2,5202,e
158,1,2,34744,d
159,1,2,2999,d
160,1,4,22769,a
161,1,2,28608,c
162,1,4,45132,a
163,1,2,43605,c
164,1,3,21685,b
165,1,3,6991,b
166,1,2,23808,c
167,1,2,22662,d
168,1,2,939,d
169,1,3,24456,b
170,1,2,37048,c
171,1,2,46750,c
172,1,4,35954,a
173,1,4,23583,a
174,1,3,3719,b
175,1,2,24458,e
176,1,4,7202,a
177,1,2,45005,d
178,1,2,24949,d
179,1,2,28460,e
180,1,2,16814,d
181,1,2,15811,d
182,1,4,26140,a
183,1,2,4025,d
184,1,2,21872,e
185,1,4,48621,a
186,1,3,449,b
187,1,2,21482,e
188,1,2,7444,d
189,1,2,47556,e
190,1,2,46040,d
191,1,2,36159,d
192,1,2,38964,c
193,1,3,36460,b
194,1,2,31326,d
195,1,2,34491,d
196,1,2,4049,d
197,1,2,46043,d
198,1,2,35600,d
199,1,2,20748,c
200,1,2,2465,c
201,1,2,4121,e
202,1,2,39814,e
203,1,2,45619,c
204,1,2,18557,c
205,1,4,37213,a
206,1,2,45196,d
207,1,2,51527,c
208,1,2,4792,d
209,1,2,45596,c
210,1,2,12838,d
211,1,3,38961,b
212,1,2,36918,d
213,1,2,625,e
214,1,4,48290,a
215,1,2,23547,d
216,1,4,23536,a
217,1,2,28025,d
218,1,2,17997,c
219,1,2,12286,d
220,1,3,20071,b
221,1,2,38210,d
222,1,2,41084,d
223,1,3,17617,b
224,1,2,29250,d
225,1,2,37250,d
226,1,3,21314,b
227,1,4,2081,a
228,1,2,37268,c
229,1,2,4954,c
230,1,2,32252,e
231,1,2,4316,c
232,1,2,18568,e
233,1,2,5097,d
234,1,4,49648,a
235,1,2,26859,d
236,1,2,29649,c
237,1,2,39733,d
238,1,3,36218,b
239,1,3,50532,b
240,1,3,25416,b
241,1,2,34383,c
242,1,3,1176,b
243,1,2,3997,c
244,1,2,50036,d
245,1,2,45398,d
246,1,4,51331,a
247,1,4,36995,a
248,1,2,46044,e
249,1,2,44082,d
250,1,2,3231,c
251,1,2,40250,d
252,1,2,24197,c
253,1,2,35125,e
254,1,2,38488,c
255,1,4,22973,a
256,1,2,26074,c
257,1,2,21691,c
258,1,4,50940,a
259,1,3,20468,b
260,1,2,46978,d
261,1,2,36182,d
262,1,2,19832,c
263,1,4,38772,a
264,1,2,3972,e
265,1,4,36967,a
266,1,4,37068,a
267,1,3,47322,b
268,1,3,9162,b
269,1,2,15921,d
270,1,2,16937,d
271,1,2,25220,c
272,1,3,33672,b
273,1,2,13958,d
274,1,2,37259,e
275,1,2,34061,c
276,1,4,47992,a
277,1,4,24470,a
278,1,2,2504,c
279,1,4,45387,a
280,1,2,26928,c
281,1,2,29183,d
282,1,4,3764,a
283,1,3,18072,b
284,1,2,3730,c
285,1,2,38814,d
286,1,2,42738,d
287,1,2,48280,c
288,1,2,48549,c
289,1,4,32496,a
290,1,4,51405,a
291,1,2,50417,e
292,1,2,37390,d
293,1,3,27849,b
294,1,2,49501,c
295,1,2,30693,c
296,1,3,34435,b
297,1,2,45509,c
298,1,2,49398,e
299,1,3,7419,b
300,1,2,26768,d
301,1,4,11912,a
302,1,3,39956,b
303,1,4,27663,a
304,1,2,2466,d
305,1,4,5333,a
306,1,4,8252,a
307,1,2,24179,c
308,1,4,24478,a
309,1,2,45601,c
310,1,2,42426,d
311,1,2,16191,d
312,1,2,1938,c
313,1,2,1891,d
314,1,2,32459,e
315,1,2,25459,c
316,1,3,31259,b
317,1,2,44909,d
318,1,2,39947,c
319,1,2,37673,c
320,1,2,37134,c
321,1,3,6876,b
322,1,4,38862,a
323,1,2,37173,e
324,1,2,51478,c
325,1,3,51590,b
326,1,2,46816,d
327,1,2,1361,c
328,1,4,21612,a
329,1,4,34161,a
330,1,2,48233,c
331,1,2,37231,d
332,1,2,47964,c
333,1,2,50060,d
334,1,2,12233,d
335,1,4,22777,a
336,1,4,30049,a
337,1,3,23684,b
338,1,2,30673,d
339,1,2,36351,e
340,1,2,32548,c
341,1,2,36338,c
342,1,4,17170,a
343,1,4,4919,a
344,1,3,26833,b
345,1,2,30526,d
346,1,2,16550,e
347,1,4,36156,a
348,1,2,32100,d
349,1,2,30655,c
350,1,4,16049,a
351,1,2,5324,d
352,1,2,50602,e
353,1,4,47997,a
354,1,2,17889,d
355,1,2,9683,e
356,1,2,23560,c
357,1,4,27395,a
358,1,3,33220,b
359,1,2,37106,c
360,1,2,20278,c
361,1,2,43188,c
362,1,4,39492,a
363,1,4,35061,a
364,1,2,36399,c
365,1,3,21252,b
366,1,2,31953,d
367,1,2,50453,c
368,1,2,22316,c
369,1,4,41759,a
