,id_food,nutriscore_grade,random_users_id,random_users_ratings
0,38357,e,4,1
1,20435,d,4,1
2,16910,c,5,3
3,33529,b,2,3
4,41750,e,9,1
5,12962,d,5,2
6,43898,c,4,4
7,6216,e,8,3
8,46822,d,1,4
9,725,d,4,2
10,19939,d,4,1
11,24506,e,1,4
12,25426,e,3,3
13,39038,d,2,4
14,47535,d,1,4
15,49178,e,9,1
16,49364,e,1,1
17,22631,d,8,2
18,23931,c,3,3
19,15943,d,7,1
20,47748,d,3,4
21,3125,e,4,4
22,31942,a,1,1
23,34223,a,4,2
24,49020,d,2,4
25,50026,e,9,1
26,46789,d,3,1
27,2940,a,2,4
28,4962,b,6,4
29,14744,a,1,1
30,19987,e,1,1
31,25912,a,4,2
32,34323,e,3,1
33,31728,a,7,3
34,37680,d,9,2
35,14397,c,1,3
36,22610,d,7,4
37,49572,d,7,4
38,659,e,2,4
39,25790,e,4,1
40,26877,d,2,3
41,47956,d,5,2
42,49996,e,6,1
43,35477,e,8,4
44,4102,d,3,2
45,24473,d,6,2
46,33614,d,2,3
47,44514,d,4,4
48,46128,c,5,4
49,38032,d,7,2
50,127,d,2,1
51,8242,b,6,2
52,11366,e,6,4
53,26003,d,1,2
54,36063,a,4,4
55,40736,d,8,4
56,690,b,3,2
57,15820,c,9,3
58,47094,d,1,4
59,2285,c,1,2
60,8951,b,3,1
61,3588,d,8,3
62,15557,d,2,2
63,30646,b,3,2
64,37160,d,1,3
65,37644,e,7,1
66,47678,d,1,4
67,19919,d,3,2
68,5455,b,1,2
69,17742,b,8,3
70,29712,a,1,1
71,25703,d,6,1
72,4455,d,2,4
73,4930,c,6,4
74,16472,d,5,3
75,16617,d,9,2
76,16719,c,2,3
77,17891,d,4,1
78,18009,d,4,4
79,20075,d,6,1
80,20092,d,2,4
81,20284,c,5,2
82,21433,d,8,2
83,25173,d,4,3
84,29232,d,5,4
85,29240,d,4,3
86,30629,d,9,2
87,46578,b,5,4
88,47483,d,1,4
89,50061,d,9,3
90,4694,a,6,3
91,35389,a,4,3
92,36342,a,8,1
93,49204,a,1,3
94,17898,d,4,3
95,27444,b,6,4
96,5521,a,6,1
97,19259,c,7,4
98,33880,b,8,4
99,8293,c,6,1
100,23593,a,6,4
101,31620,c,9,1
102,32613,a,9,4
103,33417,d,2,4
104,45645,d,3,4
105,51340,c,3,4
106,21372,c,3,2
107,26728,c,6,3
108,2395,c,4,2
109,37310,a,1,1
110,16014,b,9,3
111,48312,d,4,1
112,3734,c,1,1
113,41571,c,1,4
114,3874,b,2,1
115,50285,d,5,4
116,27152,b,8,2
117,37013,d,6,4
118,3440,d,6,4
119,3959,d,1,3
120,5301,e,1,4
121,22239,c,6,1
122,23139,b,4,1
123,28181,d,8,4
124,29048,a,5,1
125,32494,a,1,2
126,34669,b,1,2
127,44263,a,2,2
128,47205,d,6,4
129,49875,d,9,2
130,50102,a,2,4
131,52104,a,6,2
132,34650,c,1,1
133,37740,d,8,3
134,14875,a,5,4
135,12240,d,7,2
136,3906,e,3,4
137,22555,e,1,4
138,28525,d,2,4
139,34176,e,4,1
140,35136,e,3,4
141,49174,e,3,2
142,22595,d,1,2
143,32061,b,1,2
144,44961,d,5,3
145,11351,b,3,2
146,23919,c,2,4
147,24680,d,4,3
148,12841,e,2,3
149,47111,c,1,1
150,30951,b,3,4
151,97,e,9,2
152,4290,d,7,2
153,4934,b,9,2
154,5302,d,5,3
155,7987,a,4,1
156,9236,b,3,3
157,9640,b,8,3
158,14222,e,5,2
159,16854,a,4,3
160,18252,b,1,1
161,24454,d,6,4
162,25092,d,9,1
163,25116,e,9,3
164,28693,a,7,1
165,28742,e,4,4
166,29994,a,9,3
167,30896,b,5,3
168,33282,a,3,3
169,34342,b,2,1
170,38454,d,8,4
171,38844,d,3,4
172,38862,a,2,4
173,41342,d,8,1
174,41918,d,5,1
175,44811,b,4,4
176,46333,e,5,2
177,47389,b,5,2
178,47686,e,8,2
179,48644,d,2,3
180,49288,a,2,4
181,49923,a,1,1
182,50865,e,1,1
183,50940,a,9,4
184,52518,a,2,4
185,32842,d,7,2
186,24456,b,7,4
187,48202,e,2,3
188,14723,c,7,4
189,36670,e,8,1
190,36318,c,8,2
191,35430,e,2,1
192,20680,a,8,1
193,26960,a,5,2
194,33492,a,5,2
195,35660,a,1,2
196,36290,d,7,2
197,37566,b,2,3
198,45096,b,2,1
199,49599,a,6,2
200,18702,e,1,3
201,20155,e,7,3
202,20521,e,7,1
203,21879,d,1,1
204,23027,e,5,2
205,25627,e,9,3
206,25755,e,8,2
207,25962,e,7,3
208,28457,c,5,3
209,29110,c,7,3
210,34315,e,6,3
211,35390,c,4,1
212,39051,d,3,4
213,44978,e,8,3
214,47259,e,6,3
215,48686,d,1,1
216,49782,d,8,4
217,24093,b,2,3
218,46383,a,9,3
219,36237,d,2,2
220,23714,d,9,1
221,47571,d,9,2
222,45708,a,4,2
223,2130,b,1,3
224,5686,c,7,3
225,7655,c,7,2
226,8567,b,6,3
227,17606,c,8,4
228,18114,e,4,2
229,21685,b,8,3
230,26874,e,8,2
231,27025,b,5,4
232,27893,c,4,4
233,27912,b,6,4
234,28503,c,9,1
235,31290,c,8,3
236,32125,c,8,4
237,33313,b,6,4
238,39833,d,3,2
239,39835,d,2,2
240,40012,b,8,1
241,46722,c,7,3
242,47147,b,2,3
243,47189,d,7,3
244,48881,e,6,3
245,49018,d,4,2
246,49858,b,8,1
247,50977,a,5,4
248,51470,c,6,3
249,31259,b,6,1
250,15675,e,1,3
251,8637,d,3,2
252,26152,a,5,1
253,37275,b,2,1
254,29080,a,4,3
255,47605,a,1,4
256,51516,b,4,2
257,26531,e,6,3
258,4994,c,5,1
259,25046,c,8,3
260,30626,c,8,2
261,47338,c,4,3
262,51469,c,9,2
263,51557,b,1,4
264,36287,d,1,1
265,44790,d,4,3
266,2437,d,2,3
267,3194,b,2,2
268,3231,c,6,1
269,3746,a,8,3
270,5446,a,3,3
271,5677,d,9,4
272,18174,b,8,2
273,20847,d,5,4
274,21080,c,5,1
275,25621,b,1,1
276,31582,a,9,1
277,39182,b,4,2
278,40612,e,6,2
279,46496,c,2,4
280,49282,c,5,2
281,49637,d,8,3
282,52286,c,6,1
283,39802,d,2,4
284,23483,d,7,3
285,2621,c,2,2
286,34160,c,4,4
287,50738,e,4,4
288,27367,c,4,3
289,21036,d,6,4
290,22249,d,6,3
291,24820,d,4,3
292,46362,d,5,1
293,49350,d,9,3
294,486,e,9,1
295,35529,e,2,4
296,26370,c,5,2
297,30269,b,8,3
298,14581,b,7,3
299,3565,c,5,3
300,7269,c,5,4
301,48003,c,2,4
302,30748,c,2,2
303,1610,c,4,2
304,1620,b,2,1
305,2010,e,2,4
306,3697,b,4,4
307,4359,c,2,3
308,10125,b,5,2
309,10129,b,5,1
310,11339,b,5,1
311,11363,b,6,3
312,11914,b,9,4
313,12692,a,4,1
314,12706,a,9,1
315,13618,b,5,4
316,15467,a,1,4
317,22948,a,6,2
318,23308,b,5,2
319,25015,d,7,2
320,25747,d,6,1
321,26160,b,6,1
322,27527,a,2,4
323,28386,a,5,1
324,30045,b,2,4
325,31921,b,1,3
326,33793,b,7,3
327,34863,b,7,1
328,35614,b,8,2
329,37842,d,1,3
330,39694,b,7,2
331,39697,c,5,3
332,39735,b,1,2
333,40991,e,2,1
334,43149,d,6,4
335,43662,b,5,4
336,43781,d,2,2
337,44402,d,3,2
338,44855,a,8,4
339,45079,b,4,1
340,45106,b,3,2
341,45398,d,1,1
342,47462,b,9,4
343,47575,a,2,3
344,49444,d,1,1
345,49459,d,4,1
346,49748,d,3,1
347,50434,c,5,3
348,45969,e,1,1
349,16523,b,4,2
350,22990,e,5,4
351,22436,b,3,1
352,44988,b,4,3
353,28980,b,6,1
354,5076,c,2,1
355,15390,c,7,4
356,6808,e,7,3
357,34883,a,9,3
358,47140,c,9,3
359,40592,b,4,4
360,3862,b,9,4
361,21354,a,5,3
362,4019,d,1,2
363,49008,e,1,3
364,1589,a,8,2
365,3733,a,7,4
366,20403,c,1,2
367,18933,d,3,2
368,18928,a,5,1
369,16191,d,9,3
370,7591,b,1,3
371,16210,e,8,1
372,27673,a,7,4
373,36792,e,5,2
374,1330,a,3,2
375,2504,c,1,1
376,3735,b,8,4
377,3736,a,1,1
378,4597,d,5,1
379,5707,b,1,1
380,15151,d,7,4
381,15786,c,2,2
382,15850,c,4,3
383,20320,d,7,4
384,24644,a,4,1
385,24798,d,4,4
386,25299,c,7,3
387,25448,c,1,3
388,25696,d,1,3
389,25697,d,5,4
390,26607,d,6,2
391,26785,c,9,3
392,28385,b,9,3
393,28900,c,4,2
394,30062,a,4,1
395,30191,a,4,3
396,30531,a,9,4
397,30550,c,7,3
398,30973,d,8,4
399,34305,d,1,1
400,35553,d,2,1
401,35909,a,7,1
402,36142,d,8,4
403,37703,d,1,2
404,37994,b,3,3
405,38823,d,6,1
406,39695,b,2,4
407,39852,c,6,2
408,41489,b,6,1
409,44671,e,6,2
410,46215,a,7,2
411,47098,d,8,3
412,47134,b,3,1
413,47964,c,5,1
414,48879,e,8,3
415,49449,c,7,2
416,51256,c,2,4
417,41497,e,9,3
418,27480,c,3,3
419,29171,d,3,1
420,41759,a,1,3
421,24813,c,5,4
422,46601,a,6,4
423,35755,d,7,2
424,3375,a,2,2
425,13839,d,6,2
426,21768,d,5,2
427,24050,a,7,1
428,24346,d,8,2
429,25461,e,9,3
430,28208,a,4,3
431,29163,e,6,3
432,31797,d,2,2
433,34718,d,3,4
434,38730,a,1,2
435,44051,e,7,4
436,45948,e,8,2
437,46712,c,3,1
438,50137,c,9,1
439,20306,c,8,2
440,5002,a,5,4
441,1549,a,6,4
442,34470,a,5,2
443,51403,b,6,1
444,18238,d,4,3
445,41756,d,1,2
446,45018,d,7,1
447,11386,b,4,4
448,17953,e,4,2
449,47469,a,3,4
450,38561,c,3,2
451,43601,a,3,3
452,12695,e,7,4
453,37552,e,2,2
454,565,e,6,3
455,1806,c,6,3
456,23029,d,1,4
457,46590,b,9,1
458,36219,b,1,2
459,4767,d,3,4
460,30156,a,8,3
461,20929,c,1,4
462,46976,d,2,1
463,42324,a,9,3
464,43312,a,4,3
465,6991,b,6,1
466,11983,d,5,4
467,12701,e,6,1
468,13449,a,7,3
469,15447,a,2,2
470,15763,e,9,2
471,17242,d,4,4
472,22968,a,1,3
473,24702,b,7,4
474,30038,c,8,3
475,30085,c,6,1
476,34861,c,4,3
477,35754,c,1,2
478,35997,e,5,3
479,37413,b,6,2
480,38401,d,6,3
481,38867,a,9,1
482,43971,c,3,4
483,46045,c,8,1
